timestamp,price,equity,action
2026-08-17T12:30:00-04:00,730.0349731445312,150.0,NONE
2026-08-17T13:30:00-04:00,730.1900024414062,150.0,NONE
2026-08-17T14:30:00-04:00,729.969970703125,150.0,NONE
2026-08-17T15:30:00-04:00,729.8599243164062,150.0,NONE
2026-08-18T09:30:00-04:00,719.731689453125,150.0,NONE
2026-08-18T10:30:00-04:00,717.7625732421875,150.0,NONE
2026-08-18T11:30:00-04:00,718.22998046875,150.0,NONE
2026-08-18T12:30:00-04:00,718.3499755859375,150.0,NONE
2026-08-18T13:30:00-04:00,718.010009765625,150.0,NONE
2026-08-18T14:30:00-04:00,717.9199829101562,150.0,NONE
2026-08-18T15:30:00-04:00,717.5900268554688,150.0,NONE
2026-08-19T09:30:00-04:00,715.1699829101562,150.0,NONE
2026-08-19T10:30:00-04:00,718.3200073242188,150.0,NONE
2026-08-19T11:30:00-04:00,718.2999877929688,150.0,NONE
2026-08-19T12:30:00-04:00,716.5399780273438,150.0,NONE
2026-08-19T13:30:00-04:00,716.5,150.0,NONE
2026-08-19T14:30:00-04:00,716.9304809570312,150.0,NONE
2026-08-19T15:30:00-04:00,716.1099853515625,150.0,NONE
2026-08-20T09:30:00-04:00,712.0900268554688,150.0,NONE
2026-08-20T10:30:00-04:00,711.95361328125,150.0,NONE
2026-08-20T11:30:00-04:00,711.9149780273438,150.0,NONE
2026-08-20T12:30:00-04:00,710.7899780273438,150.0,NONE
2026-08-20T13:30:00-04:00,709.219970703125,150.0,NONE
2026-08-20T14:30:00-04:00,710.9299926757812,150.0,NONE
2026-08-20T15:30:00-04:00,710.9500122070312,150.0,NONE
2026-08-21T09:30:00-04:00,710.5900268554688,150.0,NONE
2026-08-21T10:30:00-04:00,712.739990234375,150.0,NONE
2026-08-21T11:30:00-04:00,713.77001953125,150.0,NONE
2026-08-21T12:30:00-04:00,713.4149780273438,150.0,NONE
2026-08-21T13:30:00-04:00,712.655029296875,150.0,NONE
2026-08-21T14:30:00-04:00,713.4199829101562,150.0,NONE
2026-08-21T15:30:00-04:00,713.4099731445312,150.0,NONE
2026-08-24T09:30:00-04:00,704.1699829101562,150.0,NONE
2026-08-24T10:30:00-04:00,705.739990234375,150.0,NONE
